country_name,country_code,continent,LifeExpNo_00_1975,LifeExp_00_1975,LE_00_1975,LifeExpNo_00_2010,LifeExp_00_2010,LE_00_2010,LifeExpNo_45_2050,LifeExp_45_2050,LE_45_2050,LifeExpNo_85_2050,LifeExp_85_2050,LE_85_2050
Estonia,EST,Europe,69.76444901420174,69.64230767692062,0.9877858662718879,75.74847612186855,75.14994599153634,0.9401469869667792,83.35795962721247,82.06615432809909,0.8708194700886622,83.35795962721247,81.82352869922346,0.8465569072010993
Ethiopia,ETH,Africa,39.35613371659939,39.34253744066591,0.9986403724066519,59.72995924002071,59.57797083611103,0.9848011596090316,72.74558840413307,72.3452821072142,0.9599693703081129,72.74558840413307,72.25627220781453,0.9510683803681459
Finland,FIN,Europe,71.83749145872366,71.7943374355575,0.9956845976833832,80.01168767499628,79.75697803812756,0.9745290363131275,86.09786646984126,85.52345744192682,0.9425590972085558,86.09786646984126,85.44228260578541,0.9344416135944144
Fiji,FJI,Oceania,61.85173444182794,61.8476595979677,0.9995925156139762,67.32757994444175,67.30697660911308,0.9979396664671327,71.78588182934162,71.74048813977653,0.9954606310434911,71.78588182934162,71.72653602721262,0.9940654197870998
Falkland Islands (Malvinas),FLK,Europe,56.25892977460183,56.25076496214083,0.9991835187538995,77.72232899960032,77.59365325649658,0.9871324256896259,84.16857125522688,83.56755469940829,0.9398983444181411,84.16857125522688,83.56755469940829,0.9398983444181411
France,FRA,Europe,72.9072124171043,72.88977151805435,0.9982559100950041,81.427513614184,81.33235397164239,0.9904840357458398,86.70665387579233,86.51606687814713,0.9809413002354802,86.70665387579233,86.47407257259354,0.9767418696801216
Gabon,GAB,Africa,55.034632482652356,55.02171821828535,0.9987085735632995,63.89773012807239,63.832247124958435,0.9934516996886046,70.50895000786133,70.33271557382231,0.9823765565960982,70.50895000786133,70.34468983639925,0.9835739828537925
United Kingdom,GBR,Europe,72.65231652854985,72.6483857514191,0.9996069222869253,80.40078175459283,80.37898704324552,0.9978205288652688,85.93932350796565,85.896670869672,0.995734736170634,85.93932350796565,85.88186717804346,0.994254367007781
Georgia,GEO,Asia,65.87350366448912,65.843508283049,0.9970004618559883,72.12769452252262,72.01428503124934,0.9886590508726727,78.51257917033797,78.32336493058062,0.9810785760242652,78.51257917033797,78.27445615197195,0.9761876981633975
Ghana,GHA,Africa,49.24650896672454,49.22306544472301,0.9976556477998472,61.157119312085825,61.068389310517645,0.991126999843182,69.48663441746585,69.24831085972188,0.9761676442256032,69.48663441746585,69.27203778490332,0.9785403367437467
Guinea,GIN,Africa,40.590892991361514,40.569343127392926,0.9978450136031413,56.719698941277656,56.57640838566616,0.9856709444388507,65.05607029079164,64.67400371764701,0.9617933426855373,65.05607029079164,64.67400371764701,0.9617933426855373
Gambia,GMB,Africa,42.44433393258687,42.43135277816187,0.9987018845575001,60.71663061350258,60.62201324921657,0.9905382635713991,69.19909358718112,68.97534653671288,0.9776252949531752,69.19909358718112,68.95821739674737,0.9759123809566248
Guinea-Bissau,GNB,Africa,42.0535303470618,42.01643133975447,0.9962900992692667,56.22949246890393,56.07821106768773,0.9848718598783804,66.29647484996778,65.87596313512739,0.9579488285159613,66.29647484996778,65.86436406998993,0.9567889220022152
Equatorial Guinea,GNQ,Africa,35.81177896229043,35.807690701815034,0.9995911739524601,57.87771815685555,57.8402570232384,0.9962538866382851,66.37017600225921,66.27382456157893,0.990364855931972,66.37017600225921,66.28475067671066,0.9914574674451444
Greece,GRC,Europe,73.4182343232289,73.41375549195578,0.9995521168726882,80.51017507212873,80.49001007166378,0.9979834999535043,86.04163849775989,85.99512908420006,0.9953490586440168,86.04163849775989,85.98932702165824,0.994768852389835
Greenland,GRL,Europe,62.361496210658764,62.24578980709012,0.9884293596431355,70.32715402848362,69.84618650680417,0.9519032478320554,76.58427895404537,75.69095506731318,0.910667611326781,76.58427895404537,75.53238764963118,0.8948108695585801
Guatemala,GTM,America,54.82413096272804,54.81195385394075,0.9987822891212709,70.87832442578011,70.80707141450225,0.9928746988722139,78.20987080373673,78.03514436894612,0.9825273565209386,78.20987080373673,78.00528774262891,0.9795416938892174
Guyana,GUY,America,60.81941671632638,60.81453160226774,0.9995114885941362,66.74297015944995,66.64746485282274,0.9904494693372783,73.62431810454773,73.3951315578648,0.9770813453317075,73.62431810454773,73.32134765960399,0.9697029555056261
Honduras,HND,America,57.548533643800496,57.54691513531609,0.9998381491515594,71.08838088215605,71.07597787551154,0.9987596993355495,77.36155601211836,77.3233961605499,0.9961840148431549,77.36155601211836,77.31599701608032,0.995444100396196
Croatia,HRV,Europe,70.62835704408238,70.60787891252151,0.9979521868439136,76.80487722946287,76.74874813722012,0.9943870907757244,83.65783892556857,83.53678584770118,0.9878946922132613,83.65783892556857,83.52384675926167,0.9866007833693103
Haiti,HTI,America,48.68145812766799,48.64495149691179,0.99634933692438,46.018515954057264,45.88711717624292,0.9868601222185653,69.87298236258688,69.18589604833714,0.931291368575026,69.87298236258688,69.1219106158818,0.924892825329492
Hungary,HUN,Europe,69.42294723619099,69.34735563472911,0.9924408398538119,74.51920329158595,74.30843755010748,0.9789234258521532,81.42156847108343,80.95262255645177,0.9531054085368339,81.42156847108343,80.89903231000507,0.9477463838921636
Indonesia,IDN,Asia,55.968332381875754,55.967061008334646,0.9998728626458891,68.67926433843851,68.6689225366303,0.9989658198191791,74.66612238126464,74.64038303888799,0.9974260657623347,74.66612238126464,74.63565746422337,0.9969535082958728
India,IND,Asia,50.812257259560994,50.765450895305776,0.9953193635744781,66.90864082007698,66.79319552348224,0.9884554703405257,77.86205311189977,77.52989745514333,0.9667844343243559,77.86205311189977,77.48293396539246,0.9620880853492693
Ireland,IRL,Europe,71.69124072168788,71.68830669830497,0.9997065976617094,80.5226259647322,80.5032989864257,0.9980673021693505,86.51711758921094,86.48080459573048,0.9963687006519535,86.51711758921094,86.46977295527893,0.9952655366067986
Iran (Islamic Republic of),IRN,Asia,54.76101151392894,54.758043256267996,0.9997031742339054,73.06904889170357,73.04953413937781,0.9980485247674238,82.24197612232497,82.18910016647904,0.9947124044154065,82.24197612232497,82.17950243821494,0.9937526315889968
Iraq,IRQ,Asia,61.46388180575631,61.46009253542066,0.9996210729664348,67.06216751735919,67.04426468636437,0.9982097169005186,75.19810755560479,75.15916557124024,0.9961058015635444,75.19810755560479,75.15001111184925,0.995190355624446
Iceland,ISL,Europe,75.48641153603019,75.47943579630444,0.9993024260274254,81.70029463251387,81.6464904388359,0.9946195806322023,86.4252203995577,86.33476396846326,0.9909543568905562,86.4252203995577,86.30810215449996,0.9882881754942261
Israel,ISR,Asia,72.13141919704871,72.12436770304572,0.9992948505997006,81.74432316725269,81.71229683066711,0.9967973663414427,86.65817358063754,86.58834261878815,0.9930169038150609,86.65817358063754,86.5716482671116,0.9913474686474061
Italy,ITA,Europe,72.72818942496053,72.72499081244176,0.9996801387481227,82.13709025258146,82.11643047606151,0.9979340223480051,87.68284322598443,87.63183489486318,0.9948991668878747,87.68284322598443,87.6223111600281,0.9939467934043676
Jamaica,JAM,America,68.0478442490031,68.04760272003831,0.9999758471035207,72.62189022698259,72.6125345043719,0.9990644277389308,76.17926149130146,76.15666372977643,0.9977402238474966,76.17926149130146,76.15400777620403,0.9974746284902565
Jordan,JOR,Asia,63.960771505997066,63.958212770530295,0.9997441264533229,73.99959562701045,73.98895165163924,0.998935602462879,80.91321636244737,80.88954563623108,0.9976329273783705,80.91321636244737,80.88363284893377,0.99704164864864
Japan,JPN,Asia,74.34185189801052,74.30425873291082,0.9962406834900307,82.91934847261618,82.76854897977304,0.9849200507156866,88.32253668238965,87.96490183627706,0.9642365153887411,88.32253668238965,87.9017129307163,0.9579176248326646
Kazakhstan,KAZ,Asia,61.91579969392373,61.64398694275687,0.9728187248833138,68.1156593263618,67.37713721631421,0.9261477889952416,75.43686311993724,74.09345770188818,0.865659458195094,75.43686311993724,73.87503356346392,0.8438170443526672
Kenya,KEN,Africa,55.825777078919856,55.807564696340506,0.998178761742065,60.649017136802236,60.52533068343212,0.987631354662988,68.77470768138278,68.5071097719356,0.9732402090552824,68.77470768138278,68.45269509883454,0.967798741745176
Kyrgyzstan,KGZ,Asia,59.653517304883266,59.52818587332443,0.9874668568441166,68.2539619056657,67.88495660052988,0.9630994694864171,75.84651899357357,75.08502995714647,0.9238510963572907,75.84651899357357,74.89066905250112,0.9044150058927556
Cambodia,KHM,Asia,11.995058778341008,11.995000961901141,0.9999942183560133,67.7122943145626,67.70665686201151,0.9994362547448915,75.71406641258847,75.69843408114457,0.9984367668556103,75.71406641258847,75.69709473142534,0.9983028318836873
