country_name,country_code,continent,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080
Chad,TCD,Africa,0.9969750519026241,0.9863088242108524,0.9449367757845074,0.931636130576802
Togo,TGO,Africa,0.9970165878693734,0.9917719680793496,0.9609584620931514,0.9602542690308269
Thailand,THA,Asia,0.9997193488046406,0.9988823380103412,0.9949741144883433,0.9926399622827049
Tajikistan,TJK,Asia,0.9989681457609073,0.996858272480523,0.9886134179806632,0.9817978286670013
Turkmenistan,TKM,Asia,0.9846552076665382,0.9501157964055622,0.8651734306920844,0.7741449112030907
Timor-Leste,TLS,Asia,0.9999163521481282,0.996960195266503,0.9863126460521385,0.981396403887149
Trinidad and Tobago,TTO,Americas,0.999986344798063,0.9991363174655277,0.9966458559457791,0.9966120196583432
Tunisia,TUN,Africa,0.9996595989519562,0.9985372470990939,0.9951062078567674,0.9912279333408464
Turkey,TUR,Asia,0.9997496724364339,0.9987599464768252,0.9946561161567147,0.9912765038082739
"Taiwan, Province of China",TWN,Asia,0.9995278015317794,0.9982377071485147,0.9923952024105361,0.989296738138458
"Tanzania, United Republic of",TZA,Africa,0.9979513638358875,0.9902250238269346,0.9540092120178443,0.9374415417164741
Uganda,UGA,Africa,0.9977118646916161,0.9916959689570731,0.9714256180848494,0.9667252430779143
Ukraine,UKR,Europe,0.9660309303799821,0.929296364565829,0.8052479787596866,0.6465042718547493
Uruguay,URY,Americas,0.998855113616709,0.9976221456630924,0.9938439640097968,0.9909173277963959
United States of America,USA,Americas,0.9981097483284671,0.9943625727446076,0.9808975498530899,0.9692894375062153
Uzbekistan,UZB,Asia,0.9961189046926642,0.98759461766047,0.9642145014854393,0.9405408104605243
Venezuela (Bolivarian Republic of),VEN,Americas,0.9998937044577645,0.9992686745836536,0.9964418098862297,0.9952407503854104
Viet Nam,VNM,Asia,0.9994946484941167,0.9983882664867239,0.993402833530098,0.990492939672815
Kosovo,XKX,Europe,1.0,1.0,1.0,1.0
Yemen,YEM,Asia,0.9996071243464598,0.9962651080552206,0.9852789521296657,0.9810208274647451
South Africa,ZAF,Africa,0.9952592416416038,0.9897006083649622,0.9608408482396698,0.9403672502837835
Zambia,ZMB,Africa,0.9963838475565254,0.9896067687850405,0.9529250852563607,0.9330351795782448
Zimbabwe,ZWE,Africa,0.9977857714514734,0.9971685750585173,0.9813561946885059,0.9714211032637025
